title,building_type,cat1,cat2,cat3,price,tenor_20,tenor_15,location,bedroom,bathroom,lt,lb
Rumah Cantik Villa Ala Bali di Tengah Kota di Graha Cinere,Rumah,null,null,null,1850000000,8000000,11000000,Cinere,2,2,120,138
Rumah Siap Huni dalam Town House Eksklusif – Hanya 2 Km ke Tol Krukut,Rumah,Siap Huni,Dekat Akses Transportasi,null,1850000000,8000000,11000000,Cinere,3,2,126,116
Rumah Mewah 2 Lantai Lokasi Strategis Paling Ekonomis di Margonda Belakang Gramedia Depok,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1850000000,8000000,11000000,Beji,5,5,140,90
Rumah Minimalis Siap Huni Di Cinere,Rumah,Full Furnished,Siap Huni,Bebas Banjir,1850000000,8000000,11000000,Cinere,3,2,70,117
Rumah 2 Lantai Hook Vila Mutiara Cibubur 2 Harjamukti Depok,Rumah,Bisa Nego,Siap Huni,Bebas Banjir,1850000000,8000000,11000000,Cimanggis,4,4,161,200
Rumah Limo Bagus 250m Akses Tol,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Fasilitas Kesehatan,1850000000,8000000,11000000,Limo,2,2,170,100
Jual Cepat Rumah Untuk Hunian & Usaha,Rumah,null,null,null,1850000000,8000000,11000000,Cinere,3,3,150,100
"Rumah Tua Di Raya Sawangan Pancoran Mas, Cocok Utk Tempat Usaha, Depan Tol Sawangan",Rumah,Dekat Akses Transportasi,null,null,1850000000,8000000,11000000,Pancoran Mas,3,1,292,150
"Rumah minimalis 2 lantai di Cinere dengan harga ramah kantong, lokasi super strategis, dan sudah semi furnished. Siap jadi hunian idamanmu!”",Rumah,Full Furnished,Siap Huni,Bebas Banjir,1850000000,8000000,11000000,Cinere,3,2,60,117
"Rumah 2.5Lt, Hdp. Selatan, Semi Furnished, Prmhn Griya Depok Asri",Rumah,Full Furnished,Siap Huni,Bebas Banjir,1850000000,8000000,11000000,Sukmajaya,5,3,120,250
"Rumah 2.1/2 Lantai Deket Sts.pondok Cina, Tol Margonda 1 Lokasi Premium Dekat Kemana Saja",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1850000000,8000000,11000000,Beji,5,5,90,140
Rumah Dalam Cluster One Gate System Cinere 2 Menit Tol Andara,Rumah,Full Furnished,Dekat Akses Transportasi,null,1850000000,8000000,11000000,Cinere,4,2,78,85
Ruko Lokasi Strategis Jl Raya Sawangan Depok,Ruko,Bisa Nego,Siap Huni,Bebas Banjir,1850000000,8000000,11000000,Sawangan,2,,90,180
"Dijual Kavling Tanah Shgb Dalam Perumahan Blok G, Cinere",Tanah,Dekat Akses Transportasi,Dekat Sekolah,null,1850000000,8000000,11000000,Cinere,,,240,0
Rumah LB 146 SHM Siap Huni 15 Menit ke Cinere Bellevue Mall Dibantu KPR J-34426,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1880000000,9000000,11000000,Cinere,4,3,118,146
Rumah LT 118 Siap Huni Dekat Margonda 10 Menit ke RS Bebas Banjir J34426,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,1880000000,9000000,11000000,Margonda,4,3,118,146
Rumah SHM 2 Carport 15 Menit ke Cinere Bellevue Mall Dibantu KPR J34426,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1880000000,9000000,11000000,Beji,4,3,118,146
Rumah SHM 2 Lt Hadap Utara 9 Menit ke Gerbang Tol Brigif 4 Siap KPR J-34059,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1880000000,9000000,11000000,Cinere,3,3,100,150
Rumah Luas SHM 3 Menit ke Living Plaza Cinere Dibantu KPR J-35217,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1880000000,9000000,11000000,Cinere,3,3,112,106
Rumah SHM 2 Lt Siap Huni 10 Menit ke One Belpark Mall Dibantu KPR J-34509,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1880000000,9000000,11000000,Cinere,2,2,87,96
Rumah 15 Menit ke Cinere Bellevue Mall Siap Huni Dibantu KPR J-34426,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1880000000,9000000,11000000,Beji,4,3,118,146
Rumah Mewah Siap Huni Di Cinere 2 Menit Ke Pintu Tol Brigif,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,1890000000,9000000,11000000,Cinere,4,4,90,120
"Dijual Unit Baru Luas Tanah 100 Di Cinere, Dkt Tol Limo",Rumah,Bisa Nego,Siap Huni,Bebas Banjir,1890000000,9000000,11000000,Cinere,4,3,100,110
Turun Harga Murah! Jual Cepat Rumah Di Komp Bumi Pusaka Cinere,Rumah,null,null,null,1900000000,9000000,11000000,Cinere,3,3,170,140
Rumah Baru Komplek Megapolitan Cinere wajib disurvey layout bagus,Rumah,Dekat Akses Transportasi,null,null,1900000000,9000000,11000000,Cinere,3,2,100,116
Rumah Terawat 2 Lt 5 Menit ke Gerbang Tol Kukusan 3 Dibantu KPR J32379,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,1900000000,9000000,11000000,Beji,3,2,77,160
Rumah 15 Menit ke Mall Pesona Square Hadap Selatan Dibantu KPR J32379,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1900000000,9000000,11000000,Margonda,3,2,77,160
"Promo Gede! Type Vesca Mampang Hills Depok Full Furnished, Lokasi Strategis!!",Rumah,Full Furnished,Siap Huni,Bebas Banjir,1900000000,9000000,11000000,Pancoran Mas,3,2,90,92
Rumah Asri LT 189 Akses Dekat Gerbang Toll Limo 2 Dibantu KPR J29023,Rumah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan,1900000000,9000000,11000000,Limo,3,2,189,120
"Mampang Hills Pancoran Mas Depok Type Vesca – Rumah Modern Harga Terjangkau, Full Furnished, Promo Terbatas!",Rumah,Full Furnished,Siap Huni,Bebas Banjir,1900000000,9000000,11000000,Pancoran Mas,3,2,90,92
"Rumah 2 Lantai Siap Huni di Mampang Hills Depok, Dekat Tol & Stasiun!",Rumah,Full Furnished,Siap Huni,Bebas Banjir,1900000000,9000000,11000000,Pancoran Mas,3,2,90,92
"Rumah Nyaman Siap Huni di Griya Telaga Permai Cilangkap, Tapos, Depok",Rumah,Siap Huni,Bebas Banjir,Dekat Sekolah,1900000000,9000000,11000000,Tapos,5,2,144,220
Shila At Sawangan Cluster Grove Terrace,Rumah,Full Furnished,null,null,1900000000,9000000,11000000,Sawangan,3,2,88,78
Harga Diturunkan Rumah 2 Lantai Semi Furnish Di Pancoran Mas Depok,Rumah,Full Furnished,Dekat Akses Transportasi,Dekat Tempat Ibadah,1900000000,9000000,11000000,Pancoran Mas,5,2,146,250
"Cinere Brand New, 4 Kt, Dekat.pintu.tol",Rumah,Bisa Nego,Siap Huni,Bebas Banjir,1900000000,9000000,11000000,Cinere,4,3,114,152
Dijual Kost 11 Kamar & Rumah Dekat U I ~ Kota Depok,Kost,Full Furnished,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1900000000,9000000,11000000,Beji,12,13,245,200
Jual Rumah,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,null,1900000000,9000000,11000000,Cinere,3,3,92,120
Rumah 1 Lantai Di Pondok Duta Cimanggis Depok,Rumah,Siap Huni,Dekat Tempat Ibadah,null,1900000000,9000000,11000000,Cimanggis,4,3,220,150
Rumah Bagus Huk 1.5 Lantai Area Megacinere  Shm,Rumah,null,null,null,1900000000,9000000,11000000,Cinere,4,2,157,110
umah Mungil Tapi Cantik di Pangkalan Jati – Lokasi Strategis Dekat Tol!,Rumah,Dekat Sekolah,null,null,1900000000,9000000,11000000,Pangkalan Jati,3,2,90,114
Rumah Siap huni Dan rapi dalam cluster Bukut Cinere Raya Dekat Pimtu Tol Brigif,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1900000000,9000000,11000000,Cinere,5,2,109,218
"Rumah Keluarga Ideal! 4KT, 2KM, Lokasi Premium Dekat Tol Desari dan Masjid Kubah Mas",Rumah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan,1900000000,9000000,11000000,Pancoran Mas,4,2,180,110
"Rumah 2 , Lantai Lokasi Aman dam Nyaman Dalam Komplek Di Cinere",Rumah,Bisa Nego,Full Furnished,Bebas Banjir,1900000000,9000000,11000000,Cinere,3,2,170,152
"Beli Rumah, Dapet Ketenangan – Cinere First Home Vibes!,bonus 5mnt Tol Brigif",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,1900000000,9000000,11000000,Cinere,3,3,170,150
"Dijual Rumah Dalam Cluster The Grove Di Shila Sawangan, Depok",Rumah,null,null,null,1900000000,9000000,11000000,Sawangan,3,2,88,79
Rumah Nempel Andara Dan Cinere Dalam Towhouse 3 Menit Ke Tol,Rumah,Dekat Akses Transportasi,Dekat Sekolah,null,1900000000,9000000,11000000,Cinere,4,3,105,115
"Rumah 2Lt, Hdp. Barat Daya, Semi Furnished, Cluster di Tanah Baru",Rumah,Full Furnished,Bebas Banjir,Dekat Akses Transportasi,1900000000,9000000,11000000,Beji,3,3,109,137
Rumah Bagus Siap Huni Dalam Komplek Strategis Di Gandul Cinere,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,1900000000,9000000,11000000,Gandul,4,3,170,140
Dijual Rumah Bagus Di Grand Depok City Harga Bisa Negosiable,Rumah,Bisa Nego,null,null,1900000000,9000000,11000000,Depok II,3,2,90,150
Tanah Bonus Rumah Tua Di Komplek Arco Sawangan,Tanah,Dekat Akses Transportasi,null,null,1900000000,9000000,11000000,Sawangan,,,918,0
Kios Strategis di Cimanggis Depok,Ruko,Syariah,Siap Huni,Bebas Banjir,1900000000,9000000,11000000,Cimanggis,1,,118,30
Rumah LT 118 Idaman 10 Menit ke Gerbang Toll Limo 2 Dibantu KPR J28299,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1930000000,9000000,11000000,Limo,2,2,118,69
Rumah Baru Minimalis Cinere Megapolitan Bisa Kpr,Rumah,null,null,null,1930000000,9000000,11000000,Cinere,5,4,100,120
"Tanah Siap Bangun Dalam Perumahan Puri Sriwedari, Cibubur",Tanah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,null,1940000000,9000000,12000000,Harjamukti,,,216,0
Depok Sawangan Bedahan Tanah Murah dekat Stasiun dan Tol Akses Mobil,Tanah,Bisa Nego,Dekat Akses Transportasi,null,1940000000,10000,20000,Sawangan,,,971,0
"Di Jual Rumah Mewah SHM dan IMB, siap huni lokasi strategis",Rumah,Siap Huni,null,null,1950000000,9000000,12000000,Tanah Baru,4,3,110,220
"Dijual Rumah Di Cinere Minimalis Menghadap Timur,dalam Cluster 11 Rumah Dengan Akses Jl Tol",Rumah,Bisa Nego,Siap Huni,Bebas Banjir,1950000000,9000000,12000000,Cinere,4,3,80,92
Telaga Golf Cluster Scotland Rumah Bagus,Rumah,null,null,null,1950000000,9000000,12000000,Sawangan,2,2,152,120
Rumah Dijual Cantik Di Permata Puri Dekat Lrt Harjamukti,Rumah,Dekat Akses Transportasi,null,null,1950000000,9000000,12000000,Harjamukti,4,4,180,150
"Rumah Baru Siap Huni Di Megapolitan Estate Blok J, Shm, Cinere",Rumah,Bisa Nego,Siap Huni,Bebas Banjir,1950000000,9000000,12000000,Cinere,3,2,100,110
Rumah Dalam Cluster Cinere Nempel Lebak Bulus Lokasi Strategis,Rumah,Dekat Akses Transportasi,Dekat Sekolah,null,1950000000,9000000,12000000,Cinere,5,5,127,200
"Dekat Lrt Harjamukti, Rumah Besar Murah Top Di Kavling Pertamina",Rumah,Bisa Nego,Full Furnished,Siap Huni,1950000000,9000000,12000000,Cimanggis,6,6,300,317
"Dekat Lrt Harjamukti, Rumah Besar Murah Top Di Kavling Pertamina",Rumah,Bisa Nego,Full Furnished,Siap Huni,1950000000,9000000,12000000,Cimanggis,6,6,300,317
Tanah Siap Bangun Di Limo Cinere Depok Lingkungan Komplek Tenang,Tanah,Dekat Akses Transportasi,null,null,1950000000,40000,50000,Cinere,,,300,0
Tanah Siap Bangun Di Limo Depok Lingkungan Nyaman Dan Tenang,Tanah,Dekat Akses Transportasi,null,null,1950000000,9000000,12000000,Limo,,,300,0
"Investasi Kavling 300 m² SHM di Limo-Depok, Harga Rp 6,5 Jt/m²",Tanah,Bebas Banjir,null,null,1950000000,40000,50000,Limo,,,300,0
Rumah Murah siap huni dekat Tol dan UI Beji Depok,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1980000000,9000000,12000000,Kukusan,3,3,104,145
Tanah Komplek Megapolitan Cinere Harga Dan Lokasi Terbaik Dekat Tol,Tanah,Dekat Akses Transportasi,null,null,1980000000,40000,60000,Cinere,,,240,0
Dijual Kavling Siap Bangun Megapolitan Cinere,Tanah,null,null,null,1980000000,9000000,12000000,Cinere,,,240,0
"Dijual TANAH HOOK BUKIT GOLF RESIDENCE, CLUSTER RIVER SIDE , CIMANGGIS",Tanah,null,null,null,1980000000,9000000,12000000,Cimanggis,,,305,0
"Tanah Kavling Hook Bukit Golf Residence, Cluster River Side , Cimanggis, Bogor",Tanah,null,null,null,1980000000,9000000,12000000,Cimanggis,,,305,0
Brand New Rumah Cinere Siap Huni Dekat Tol dan Andara,Rumah,Siap Huni,Dekat Akses Transportasi,null,1990000000,9000000,12000000,Cinere,4,4,101,120
3 Kios strategis | cocok untuk tempat usaha & Investasi,Ruko,null,null,null,1990000000,9000000,12000000,Tapos,3,,106,60
Bukit Cinere Indah Rumah Mewah 5 Kamar Tidur Kolam Renang Furnished Bagus,Rumah,Full Furnished,null,null,10000000000,48000000,62000000,Cinere,5,5,560,600
"Lahan Seluas 1,903 m per segi di Curug dekat ke Gerbang Tol Cisalak 2",Tanah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan,10000000000,48000000,62000000,Cimanggis,,,1903,0
"Jual Cepat Rumah Asri, Nuansa Villa Kolonial Tempo Dahulu",Rumah,null,null,null,10500000000,50000000,65000000,Margonda,3,1,926,220
Kost Kosan Strategis Dekat Kampus Ui Dan Gunadarma Margonda Depok,Kost,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,10500000000,50000000,65000000,Margonda,36,25,625,850
Tanah Strategis di Pipa Gas Depok Deket ke Margonda Raya,Tanah,null,null,null,10500000000,70000,80000,Margonda,,,843,0
"Tanah Di Jln Raya Tole Iskandar, Iniada Bangunan Seluas 2000 M2",Tanah,Dekat Akses Transportasi,null,null,104000000000,30000,40000,Margonda,,,19000,0
"Tanah Bonus Banguan Kantor, Workshop, Cocok Untuk Gudang",Tanah,Siap Huni,null,null,106000000000,30000,40000,Cilodong,,,19000,0
Dijual Rumah Lux Cinere Mas Depok Jawa Barat,Rumah,Dekat Sekolah,null,null,11000000000,53000000,68000000,Cinere,5,7,420,600
"di Beli pasti untung. Sangat strategis, ruang usaha di raya margonda. Jl. Margonda Raya No 43 Kel. Pondok Cina Kec. Beji Kota Depok Jawa Barat, Margonda",Rumah,Dekat Sekolah,Lelang,Clean & Clear,11000000000,53000000,68000000,Margonda,5,3,660,500
Tanah 5000m2 Dekat Stasiun Depok Baru,Tanah,Bisa Nego,Dekat Akses Transportasi,null,11000000000,20000,20000,Depok I,,,5000,0
Tanah Cocok Untuk Investasi Lebar Muka 24 Meter di Cinere,Tanah,Dekat Fasilitas Kesehatan,null,null,11200000000,50000,60000,Cinere,,,1249,0
Dijual Cepat Tanah Kosong Lokasi Dekat Dgn Jln Cinere Raya,Tanah,null,null,null,11600000000,60000,70000,Cinere,,,1056,0
"Dijual Murah Tanah Luas SHM Di Cinere, Tepi Jalan",Tanah,Bisa Nego,null,null,11800000000,50000,60000,Cinere,,,1249,0
Dijual Cepat Murah Tanah Lokasi Bagus Pancoran Mas Depok,Tanah,null,null,null,11800000000,20000,20000,Pancoran Mas,,,3941,0
Rumah 2 Lantai Take Over di Cinere Depok Dekat Area transportasi,Rumah,Over Kredit,null,null,110000000,540000,690000,Cinere,4,2,90,72
Rumah Mepet Jaksel | Akses Tol Krukut-Kukusan-Sawangan | DP 0 | FREE ALL IN | Subsidi Angsuran 6 bulan,Rumah,Subsidi,DP 0%,Dekat Akses Transportasi,119000000000,574000000,738000000,Limo,3,3,97,65
Rumah Hoek Dalam Komplek Ada Kolam Renang i Cinere Depok,Rumah,null,null,null,12000000000,57000000,74000000,Cinere,6,5,875,578
Dijual Rumah Mewah Ada Kolam Renang Di Komplek Elit Habibie Cimanggis Depok,Rumah,null,null,null,12000000000,57000000,74000000,Cimanggis,3,2,543,370
Kavling Atau Tanah Lokasi Ramai Strategis Dekat Toll Di Beji Depok,Tanah,Dekat Akses Transportasi,null,null,12000000000,57000000,74000000,Beji,,,891,0
"Cinere Blok K, Halaman Luas, S. Pool Dekat Mall",Rumah,Bisa Nego,Siap Huni,Bebas Banjir,12500000000,60000000,77000000,Cinere,5,3,2008,600
"Gudang Dijual Harga Dibawah Pasaran Masih Nego Lokasi Strategis Bebas Banjir On Hand Di Bojongsari Depok Jawa Barat Lokasi Aman Siap Pakai Bangunan Masih Sangat Bagus, Cocok Untuk Gudang Sembako, Expidisi, Gudang On Line, Terawat Dan Siap Pakai",Gudang,Siap Huni,Bebas Banjir,null,12500000000,60000000,77000000,Depok II,,,2000,1000
Jual Kontrakan 28 Unit Di Cinere Depok,Kost,Dekat Akses Transportasi,null,null,13000000000,62000000,80000000,Cinere,28,28,1569,1079
Dijual Rumah Kokoh  Bonus Paveliun Lokasi Strategis Bebas Banjir,Rumah,Bebas Banjir,null,null,13000000000,62000000,80000000,Gandul,6,4,956,700
Dijual Cepat Ruang-usaha 761.0 M² Shm Unfurnished Di Gandul Depok,Ruang Usaha,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,13000000000,62000000,80000000,Gandul,4,,761,600
Rumah Di Jalan Utama Cocok Untuk Tempat Tinggal Dan Usaha,Rumah,Bisa Nego,Full Furnished,Bebas Banjir,13500000000,65000000,83000000,Cinere,5,6,750,400
Dijual Tanah Siap Bangun Lokasi Pinggir Jalan Raya Di Sawangan,Tanah,Dekat Pusat Perbelanjaan,Dekat Sekolah,Dekat Fasilitas Kesehatan,13500000000,65000000,83000000,Sawangan,,,2420,0
Rumah Mewah Dalam Komplek Premium Pangkalan Jati Dekat Fatmawati,Rumah,Full Furnished,null,null,13500000000,65000000,83000000,Pangkalan Jati,4,3,1000,500
"Jl. Gerogol Seberang, rangkapan jaya pingiir tol Desari",Tanah,Dekat Akses Transportasi,null,null,13500000000,65000000,83000000,Rangkapanjaya,,,3000,0
Lahan S H M Stasiun K A Pondok Rajeg,Tanah,Bebas Banjir,Dekat Akses Transportasi,Dekat Sekolah,13700000000,20000,20000,Depok I,,,5200,0
"Rumah Murah di Daerah Cipayung, Depok",Rumah,null,null,null,131000000,640000,820000,Cipayung,2,1,65,50
Jual Tanah 5 Ha Zona Perumahan Di Cinangka Depok,Tanah,null,null,null,135000000000,20000,20000,Cinangka,,,50000,0
Rumah Kavling Mewah Fully Furnished  Di Cibubur Cimanggis,Rumah,Full Furnished,Siap Huni,Dekat Akses Transportasi,14000000000,67000000,86000000,Cibubur,7,6,1060,630
"RUMAH 2 LANTAI SIAP HUNI DI PINGGIR JALAN RAYA KRUKUT, LIMO DEPOK SHM",Rumah,Siap Huni,Dekat Akses Transportasi,null,14000000000,67000000,86000000,Krukut,6,4,685,500
"Dijual Rumah Kavling Radar Auri Mewah 1,5 Lantai Fully Furnished Siap Huni Di Cibubur Cimanggis Depok ( Cocok Untuk Kelas Pejabat / Pensiunan Pejabat & Pengusaha )lokasi Strategis Dekat Gerbang Tol Cibubur",Rumah,Full Furnished,Siap Huni,Dekat Akses Transportasi,14000000000,67000000,86000000,Cibubur,5,4,1060,630
Rumah Mewah Furnished Strategis Di Radar Auri Cimanggis Depok,Rumah,Full Furnished,Siap Huni,Dekat Akses Transportasi,14000000000,67000000,86000000,Cimanggis,7,6,1060,630
Turun Harga dan Di Bawah NJOP Tanah Pinggir Jalan Margonda Raya,Tanah,Bebas Banjir,null,null,14000000000,68000000,87000000,Margonda,,,829,0
"Tanah 1.135 M², Hook, Komersial, Strategis Dpn Gerbang Tol Krukut",Tanah,Bebas Banjir,Dekat Akses Transportasi,null,14100000000,70000,80000,Cinere,,,1135,0
Margonda Residence 4 Dmall Mares 4bagus Unfurnished,Apartemen,Dekat Pusat Perbelanjaan,null,null,140000000,680000,870000,Margonda,1,,21,0
Margonda Residence 2 Shmrs Dekat Ui,Apartemen,Full Furnished,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,150000000,730000,940000,Margonda,1,,20,0
SUPER HOT Pabrik Luas Lokasi Strategis kawasan Industri Di Depok,Pabrik,Bebas Banjir,Dekat Akses Transportasi,Lelang,151000000000,732000000,942000000,Tapos,2,,25077,25077
Saladdin Mansion Apartment 1 BR Furnished Bagus,Apartemen,Full Furnished,null,null,153000000,740000,950000,Margonda,,1,17,0
"Rumah Murah Aset Mandiri, Tapos, Bogor Jawa barat",Rumah,null,null,null,156000000,760000,970000,Tapos,2,1,106,72
Dijual dua rumah  DEPOK mewah siap huni including furnished.,Rumah,Full Furnished,Siap Huni,Dekat Akses Transportasi,16000000000,77000000,99000000,Depok II,7,7,630,800
Tanah Jl Raya Jakarta Bogor Dkt Bank Bri Dan Gor Kartika Cilodong,Tanah,null,null,null,16200000000,40000,50000,Cilodong,,,2161,0
Tanah Kavling dekat Golf Cinere,Tanah,null,null,null,16300000000,70000,80000,Pangkalan Jati,,,1304,0
"Rumah jual dibawah NJOP  di Jl.Margonda Raya merupakan  Kawasan Pusat Bisnis Komersial, Pusat Pemerintahan , Pusat Perdagangan  Dan Pusat Kuliner DEPOK JAWABARAT  sangat cocok buat Usaha Lokasi berada diKawasan Premiun Kota DEPOK.",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,16700000000,80000000,103000000,Margonda,4,2,880,300
Kos Di Depok Pinggir Jalan Raya,Kost,null,null,null,16800000000,81000000,104000000,Sukmajaya,,,2816,782
Dijual Tanah Komersial Jalan Raya Margonda Depok,Tanah,Dekat Fasilitas Kesehatan,null,null,16900000000,81000000,105000000,Pancoran Mas,,,806,0
"Rumah Murah di Daerah Tapos, Depok",Rumah,null,null,null,161000000,790000,1000000,Tapos,2,1,60,60
Margonda Residences Shm Dekat Ui Mares 1 Bagus Furnished,Apartemen,Full Furnished,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,165000000,800000,1000000,Margonda,1,,20,0
For Sale Tanah Harga Dibawah Njop Margonda Raya Depok,Tanah,Bebas Banjir,null,null,17000000,90000,110000,Margonda,,,829,0
RUMAH ASRI NUANSA VILLA at PERUMAHAN MEGA CINERE dkt JAKSEL,Rumah,Dekat Akses Transportasi,null,null,17000000000,82000000,105000000,Cinere,7,6,2100,1000
Pabrik Dijual. Dekat Dengan Stasiun Lrt Harjamukti Cibubur,Pabrik,Dekat Akses Transportasi,null,null,17500000000,84000000,108000000,Cimanggis,3,,2490,1500
"Dijual Tanah, Berhadiah Rumah 2 Lt Seluas 280 M2 Hadap Barat Daya2",Tanah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Fasilitas Kesehatan,18300000000,30000,40000,Cisalak,,,3340,0
TANAH / RUMAH DI DEPOK PANCORAN MAS 2304/355,Tanah,Dekat Akses Transportasi,Dekat Sekolah,Clean & Clear,18400000000,40000,50000,Pancoran Mas,,,2304,0
TANAH / RUMAH DI DEPOK PANCORAN MAS 2304/355,Rumah,Dekat Akses Transportasi,Dekat Sekolah,Clean & Clear,18500000000,89000000,114000000,Pancoran Mas,,,2304,55
Tanah Jl. Kartini Pancoran Mas Kota Depok Dekat Margonda,Tanah,null,null,null,18500000000,89000000,114000000,Pancoran Mas,,,2304,0
"DIJUAL RUKO / RUANG USAHA STRATEGIS di Jl CINERE RAYA / DEPOK, JABAR",Ruko,Dekat Akses Transportasi,null,null,18600000000,89000000,115000000,Cinere,,,1095,700
FULL TERISI  KOS EKSKLUSIF ROI 10-12% MARKET HIGH CLASS MARGONDA,Kost,Full Furnished,Dekat Pusat Perbelanjaan,Dekat Sekolah,18900000000,91000000,117000000,Margonda,50,50,517,1200
Apartemen Saladdin Mansion Depok Margonda Furnished,Apartemen,Full Furnished,Siap Huni,Bebas Banjir,180000000,870000,1000000,Margonda,,1,19,0
Margonda Residence 2 Dekat Ui Mares 2,Apartemen,Full Furnished,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,180000000,870000,1000000,Margonda,1,,24,0
Rumah mewah modern bebas banjir lokasi dicitayam,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,185000000,900000,1000000,Citayam,2,1,42,30
Rumah strategis murah free kitchen set harga mulai 185jt dicitayam,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Fasilitas Kesehatan,185000000,900000,1000000,Citayam,2,1,42,30
Rumah mewah harga murah 10mnt ke stasiun citayam dan tol sawangan,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Fasilitas Kesehatan,185000000,900000,1000000,Citayam,2,1,42,30
Jual Butuh Harga Nego Sampai Jadi Apartemen Studio Saladdin Mansion Margonda Depok,Apartemen,Bisa Nego,null,null,185000000,900000,1000000,Margonda,1,1,18,0
"Jual Tanah SHM, jarang ada tanah kavling unit terbatas di dalam perumahan cluster di bedahan, sawangan kota depok,",Tanah,Subsidi,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,189000000,920000,1000000,Sawangan,,,63,0
Tahan Kavling Shm Di Sawangan Depok Tanah,Tanah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,189000000,920000,1000000,Sawangan,,,64,0
"Gedung Ruang Usaha Di Kawasan Area Berkembang Sawangan, Depok",Ruang Usaha,Bisa Nego,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,19500000000,94000000,121000000,Sawangan,,,1171,2000
Rumah di jual harga terjangkau dekat stasiun akses mobil,Rumah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Tempat Ibadah,190000000,920000,1000000,Pasir Putih,2,1,40,38
Dijual Murah Dibawah Harga Pasaran Apartemen Lotus Depok,Apartemen,Dekat Pusat Perbelanjaan,null,null,190000000,920000,1000000,Cilodong,,1,35,0
Margonda Residence 4 D Mall,Apartemen,Full Furnished,null,null,190000000,920000,1000000,Margonda,1,,20,0
Margonda Residence 2 Studio Furnished Lantai 8,Apartemen,Bisa Nego,Full Furnished,null,190000000,920000,1000000,Margonda,1,1,20,0
Margondq Residence 1 Dekat Ui,Apartemen,Full Furnished,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,195000000,950000,1000000,Margonda,1,,20,0
"Dijual tanah murah SHM Pinggir Jalan Utama Radar Auri 65000 Meter, Langsung Pemilik",Tanah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan,195000000000,20000,20000,Harjamukti,,,65000,0
For Sale Rumah Baru Siap Huni 2 Lantai 2KT di Cimanggis Depok Bonus Kanopi,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,2000000000,9000000,12000000,Cimanggis,2,2,89,85
"Rumah Siap Huni 2 Lantai di Beji, Depok 30 Menit ke SCBD",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,2000000000,9000000,12000000,Beji,2,2,89,85
